"","score","review"
"1","10",""
"2","10","되게스릴있고...코미디도적당히들어간재미있는느낌이었습니다"
"3","7","코미디인데별재미는없네;쫄깃한장면좀있는재난액션물"
"4","10","대박대박재밌어요"
"5","3","유치한대사로웃겨볼려는3류코미디재난영화."
"6","10",""
"7","10",""
"8","6","exit,excite,exist!"
"9","1",""
"10","10","따따따따-따-따따따따"
"11","8","중간에개연성이좀뛰는거빼곤재밌었음"
"12","10",""
"13","9","천만가자"
"14","10","기대안하고봤는데,진짜재미있게봤다.야나두조정석에서엑시트조정석으로바뀜."
"15","10","이영화벌써4번봄ㄷㄷ개꿀재"
"16","3","유치,황당....두주연배우의소꿉장난같은연기는귀엽긔....ㅋㅋ"
"17","3","외국영화에서는가족이야기가나왔는데미세먼지가지상을덮는다는내용의영화가있었죠"
"18","10","설정비유재미!"
"19","1","도대체어디에서웃어야하지?처음부터끝까지한번도안웃은코미디영화는처음이네"
"20","8","잘찍었네요,영화전체가긴장감이쭉이어지네요"
"21","5","산악부라는게큰포인트인데,하강을못하는설정이라보여줄거리의절반이날아감.달리기로만때운장면도그렇고후반부가좀아쉬웠음."
"22","8","시간이훅가네요ㅋㅋㅋ굳굳굳ㅋㅋㅋㅋ"
"23","8",""
"24","6","잼있게봣는데.......결국...천만은못넘네....................딱목에걸렸네...."
"25","1","한국영화수준참........"
"26","0","100분동안고문받았다유치해서손발이오글거리는상태로끝까지보는게마치고문같았다"
"27","10","ㄷ"
"28","9","진짜대박ㅜㅜㅜ개잼잇음개인적으로진짜내취향저격,,평범한재난영화에서나오는해병대군인근육짱짱맨이안나오는설정이라더현실성있고재밌었음강추합니다"
"29","7","뻔한스토리라도볼만함조정석구여움은만점ㅋ"
"30","9","재미와유머가극한재난상황과잘버무려진흥미진진한장면들로가득찼네요몰입도최강이었습니다!"
"31","9","한국식고공액션물의승리.충무로도하면되네?ㅋㅋㅋㅋㅋㅋ"
"32","6","노력은열심히했다.그런데런닝타임내내빠져들어보는게아니라그냥빨리보기로다음이어찌되는지궁금한정도였음.대충만든건아닌데,그렇다고시나리오가아주꼼꼼하진않았고,여기저기신경써서유튜버들과드론을등장시키는등애쓴흔적은보이나수작이라말하기도뭐한..킬링타임용영화정도.."
"33","3","그냥윤아가이뻐서3점은준다"
"34","10","강추합니다.청년여러분,모두힘내세요.유독가스,고층빌딩,외줄타기등등여러분이처해있는어려운상황을잘묘사했더군요."
"35","2","초반에약간긴장감있었지만,뒤로갈수록줄타기와벽타기의반복에긴장감이떨어진다.뻔한전개와분위기로인해어차피주인공들을살것같아서그렇기도하고."
"36","10","나만당할수없다.초딩들재관람을얼마나했길래이게900만을넘어저학년용ebs영화."
"37","10","큰기대는안했는데재밌네요^^스토리보다는조정석과윤아의위기탈출과정이흥미진진하고볼만했습니다."
"38","1","노잼"
"39","1","아니어떻게이런유치찬란힌영화가9백만?믿기지가않네어~휴극한직업발톱의때만도못한닭살돋는망작"
"40","10","드뎌나왔구나.저는이영화울향림이랑볼꺼에요^^♡근데언제보게될줄자알모르겠네요ㅠㅠ울향림이사랑한다^^♡죽어서도사랑할꺼다^^♡"
"41","0","유치하고억지로웃기려고하고오버하고윤아는재난영화에어울리지않음.그리고재난영화인데긴장하나도안듬.스토리가중학생수준"
"42","10","간만에아주재밌게봤어요.이정도면만점주고싶네요."
"43","10","한국재난영화중가장최고라고생각합니다과장되지않은인간미물씬풍기는영화영화평점처음올려봅니다"
"44","0","와이런영화를900백만명이나보러갔나?진짜하류영화같다..이해가안된다너무너무너무너무너무너무너무퀼리티가떨어지고재미도없고진짜솔직한후기다ㄷㄷ"
"45","6","이걸900만이봤다고???쓸데없는군더더기없이액기스만보여준영화엔박수조정석의투머치한연기는언제쯤조정될려나연기자윤아로는충분히박수우왕좌왕쓸데없는소란만을유발한가족들로감독은멀보여주자는건지.도대체이런영화에백수청년의비애를꼽싸리끼우며호들갑떤언론의투머치는누가조정해주나..."
"46","1","별점4개이상준사람들은관계자아니면유치한영화좋아하는사람인가??????????쇼하고자빠젔네...이런영화가별4개이상이면미국헐리웃영화는별100개냐.."
