"","title","review"
"1","변신","변신정말.. 별로임..미스캐스팅에... 엉성.. "
"2","82년생 김지영","82년생 김지영마음이 저려 오는 영화입니다. 저는 남자, 올해 마블 영화보다 훨씬 좋았습니다. "
"3","82년생 김지영","82년생 김지영공산주의가  만들어낸  페미사상은  정신병이다 "
"4","82년생 김지영","82년생 김지영마지막장면인 카페에서 82년생 김지영 대사가 마음의 와닿았습니다. 굿 "
"5","82년생 김지영","82년생 김지영이딴 쓰레기 영화가 개봉되는 대한민국수준이 참 걱정되네요. "
"6","타이타닉 2","타이타닉 22.22를 위하여 "
"7","82년생 김지영","82년생 김지영잘 만들었다 영화이기에 좀 극대화 한 것도 있지만 영화 잘 만들었다 "
"8","82년생 김지영","82년생 김지영쿵쾅쿵쾅 다 몰려왔네.. 보면 알거다? 봤는데 남자는 불쌍하고 여자는 답답하고.. 이게 뭔 스토리 "
"9","남한산성","남한산성진정한 '삶' 이란 무엇인가에 대해, 이념과 이념의 대립이 주는 긴장감이 흥미로웠습니다.누군가에겐 죽음이 진정한 삶의 완성이기도 하며,또 누군가에겐 살아감이, 견뎌냄이 진정한 삶이라는대립되는 두 이념이 창과 방패와 같습니다.삶에 대한 서로의 이념을 결과적으로 현실화 해버리기에 두 이념을 바탕으로한 완전한 삶이 완성되는 것이 아니었을까 생각해봅니다.  삶이란 무엇일까요.'살아감'일까요, '살아갈'일까요. 답이 없기에, 더욱 여운이 남습니다. "
"10","시크릿 슈퍼스타","시크릿 슈퍼스타아미르 칸 이름이 들어가면 믿고볼수있어요. 생각해볼점도 많고 노래도 가사도 너무 좋고...ㅜㅜ 상영관이 적어서 물어물어 찾아가봤는데 못봤으면 아쉬웠을거예요. 보람이 있어요. 인시아 엄마랑 행복하렴.... "
