"","comicName","comicSummary","comicGrade"
"1","능력안경","안경장르 만화","9.90"
"2","세모와동그라미","나보다외로운사람에게","9.86"
"3","A-STUDENT(모범생)","사악한 본성","9.82"
"4","이브의꿈속친구","꿈에서 만난 친구","9.76"
"5","홈스윗홈","네식구 사는 이야기","9.85"
"6","제소원을들어주세요!","중요한걸 잊고있었어","9.86"
"7","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"8","웰캄투실버라이프","할머니! 할아버지!","9.94"
"9","선선한이야기","프리랜선선","9.68"
"10","일상견문록","다른나라 일상이야기","9.85"
"11","아빠는여섯살","아빠 4컷 그림일기","9.94"
"12","카나와초나의독일","독일 유학 생존기","9.89"
"13","광해와이순신","전쟁을 이긴 영웅들","9.60"
"14","다이아리","데이트폭력에 관하여","9.84"
"15","식인귀","괴물이 보인다","9.78"
"16","저승파견고용직","기묘한 만화","9.92"
"17","검은늑대","검은 늑대","9.87"
"18","제목이7080만화","7080 이야기","9.90"
"19","하루와모레","일상 이야기 :)","9.68"
"20","올어바웃You","봉카의 외노자인생","9.87"
"21","오픈했어요<매직컬마카롱>","마카롱가게에서~","9.91"
"22","나도옷잘입고싶다","패고의 패션만화","9.92"
"23","외국in한국","영국인의한국생활","9.87"
"24","중딩툰","중딩이 그리는 웹툰","9.46"
"25","파리스의선택","그리스 신화 회귀물","9.93"
"26","아옹아옹","두식이 냥육일기","9.92"
"27","결혼하고싶지않았는데못하게되었다.","안하느냐 못했느냐","9.84"
"28","당할연","당신도할수있다연애","7.25"
"29","채똘일기","채똘일기","9.57"
"30","매지컬팡","명랑만화 매지컬팡","9.90"
"31","꿀렁한하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"32","죽음과동화","호러.판타지.로맨스","9.89"
"33","나는마요집사로소이다","쉽지 않은 집사생활","9.91"
"34","마법소년근무일지","","9.72"
"35","158동진상부부","부부의 진짜 일상","9.11"
"36","껌은고양이뇌로","고양이 성 탈출극","9.82"
"37","충충의하루","충충의 하루","9.63"
"38","휴지통","잔부스러기같은 행복","9.87"
"39","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"40","바다의끝에는언제나그아이들이있었다.","섬에 남은 자매.","9.94"
"41","가짜좀비왕4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"42","블랙펄:둥근창의세계","돈이궁한 용병이야기","9.72"
"43","무대에서지않지만배우입니다","배우 지망생 이야기","9.86"
"44","신과의대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"45","나의별에게","감성로맨스","9.92"
"46","사랑을,너에게","학원성장물","9.90"
"47","스투피즈","새내기 생활툰","9.93"
"48","저주와별가루","저주와 별가루","9.80"
"49","목소리의그늘","훈남 전문 성우들!","9.88"
"50","서폿저택에어서오세요","서폿만 사는 저택","9.84"
"51","STONEAGE","스릴러 판타지","9.88"
"52","이딴여행","여행포토툰","9.79"
"53","맹랑맘마MEMORY","다시 쓰는 일기","9.83"
"54","라텔론","근미래속의 마법사","9.36"
"55","CMYK","의식의 흐름 만화","9.13"
"56","나의작은조","공룡집사의 반려인간","9.88"
"57","연애일기","소소한 연애 일상","9.83"
"58","분노의난임일기","난임 정복 웹툰!","9.84"
"59","오늘부터날아!","신나는 배구","9.89"
"60","용아","능력자 판타지","8.90"
"61","블랙메일","우체부 이야기.","9.33"
"62","[리뉴얼]무감각자들","무감자,스릴러로맨스","9.64"
"63","1시간30분","비글과 아웃사이더","9.89"
"64","마음과마법의반비례","마법학교 적응하기","9.88"
"65","위치파이와미드나잇주스","내 인생은 내 인생","9.79"
"66","빵뽀시래기","빵집 알바 해봤니?","9.88"
"67","백수와갓족","백수의 일상 습작","9.86"
"68","좋아하는거참으면병나요!","좋아하는건 못참아","9.71"
"69","중등생활보고서","현실 중딩 보고서","8.97"
"70","누나의이중생활","이중생활이 시작됐다","9.93"
"71","좋은개나쁜개이상한개","강아지 사회화 교육","9.81"
"72","몬스터커맨더F","몬스터 판타지","9.90"
"73","고양이로살고있습니다","고양이 지식, 일상","9.91"
"74","그레이스","최초의간호사이야기","9.84"
"75","채식주의자의애완채소","스릴러, 리메이크중","9.86"
"76","여우자매","일상판타지 시대극","9.94"
"77","우리집강아지는복슬강아지","댕댕이와의 일상:3","9.94"
"78","지나온길","그들의 학창시절","9.64"
"79","저승화랑전","악덕 상사와 나","9.93"
"80","엘카림이들어줄게!","SF+판타지 액션.","9.70"
"81","강가네","사남매 가족 적응기","9.91"
"82","마이동풍","달콤살벌청춘로맨스","9.21"
"83","시간의뒷면","위험한 시간여행","9.51"
"84","이상과현실","일상의 철학","9.92"
"85","길고양이행진","덩치 큰 고양이.","9.91"
"86","우리는예상치못하게","그럴 때가 있잖아요","9.93"
"87","너를만나다","어느날 너를 만나다","9.91"
"88","사라생전","김서방과 판타지","9.89"
"89","안녕,나의길고양이","길고양이와 공대생","9.94"
"90","나의비거니즘만화","비건의 일상","7.71"
"91","아마데우스","살인연극의 개막","9.84"
"92","존버닥터","섬탈출까지 존버해라","9.73"
"93","랜드라이프","상어의 육지 생활","9.92"
"94","게임에접속했습니다!","게임하는 고딩들","9.90"
"95","우리는친한친구","친한친구 이야기","9.63"
"96","수의사그리는미대생","수의사&미대생의 삶","9.83"
"97","남의집귀한자식","너무 친절한 그녀","9.76"
"98","만화임진왜란","쉽게 보는 임진왜란","9.77"
"99","범이올시다!","방실의 범집사 일기","9.91"
"100","이리(iri)","윤회판타지/자유연재","9.59"
"101","이상한사무실","디자인 회사 이야기","9.76"
"102","오늘도그래고래","귀여움으로 승부한다","9.93"
"103","여자공수혁","수혁이 학원기","9.94"
"104","이데아프로젝트","능력자 판타지","9.80"
"105","런어웨이","초능력 소녀,그의 소유물이 되다","9.83"
"106","곰팡남녀","보통의 경계","9.91"
"107","견우화","부도덕한 도사","9.92"
"108","판타지TV","판타지의 인터넷방송","9.76"
"109","로단테","판타지 활극 드라마","9.88"
"110","더익스트림","TheExtreme","9.65"
"111","스크류드라이버","나사돌리는그거 아님","9.92"
"112","쉼터에살았다","쉼터 생활툰","9.94"
"113","일찍자고일찍일어나기","아침형 뱀파이어","9.94"
"114","은룡여린설","신과 인간의 이야기","9.92"
"115","냥만연애툰","귀욤뽀짝 깨알개그툰","9.58"
"116","지극히평범한생활","말만 평범한 일상툰","9.91"
"117","그녀의시크릿사운드","판타지 로맨스","9.85"
"118","수영만화일기","저질체력,수영-하다","9.89"
"119","쓰레기머학생","답없는 대학생 일상","9.87"
"120","치즈범벅","치즈고양이형제 일상","9.84"
"121","타인행성표류기","공감 개그 일상툰","9.85"
"122","더리턴","왜 우린 달라?","9.79"
"123","완벽한이별","사랑은 뭘까?","9.85"
"124","산군대잔치","산군의 일상툰","9.93"
"125","웰시네부부에세이","삶 고찰 그림에세이","9.57"
"126","개인사생활","죽고 나서야 갖게 된 안정적인 삶","9.67"
"127","어바웃페이스","10대들의이야기","9.41"
"128","오늘도먹음머금","밥 먹는 두 친구","9.89"
"129","마족사제","사제님은 마족?","9.93"
"130","하나밖에안보여!","오직 하나 주세요!","9.89"
"131","여의도","여의도 좀비서바이벌","9.76"
"132","천사는야옹","고양이가 사실 천사","9.88"
"133","운명같은소리하네","나와 이어진 운명은","9.93"
"134","국화야","동화 속 뒷 이야기","9.41"
"135","엑스트라Z씨","Z씨의 발버둥","9.93"
"136","내이름을불러줘","엄마인 삶에서 여성의 삶으로 성장하는 스토리","9.80"
"137","너구리네육아일기","육아일기","9.85"
"138","유진의환상특급열차","유진의 여행기","9.92"
"139","아파트용사","아싸인생 이세계로!","9.36"
"140","틈","틈을파고드는 이야기","9.84"
"141","크리그","완결","9.82"
"142","봉츄자매라옹","10살차 고양이자매","9.79"
"143","나를죽이는방법","지워낼수 없는 후회","9.89"
"144","휘슬링","사랑의 신 에로스","9.40"
"145","잔액이부족합니다","대중교통 일상툰","9.93"
"146","바람따라물따라","역사인물만화","9.72"
"147","이런우정","유쾌한 친구들 얘기","9.90"
"148","천진난만하루","천진이의 일상이야기","9.94"
"149","쿤도브라더스","개와 고양이의 동거","9.92"
"150","엔드시즌","초딩들의 야구","9.74"
"151","환상의아이들","호러판타지성장드라마","9.77"
"152","육묘일기","고양이 일상툰","9.93"
"153","찔레꽃그너머","임진왜란과 서민의삶","9.85"
"154","서유기:손오공의모험","손오공의 서천여행기","9.60"
"155","우로보로스","시간여행판타지시대극","9.33"
"156","오늘밤야식을먹는다","오늘밤 야식 어때?","9.47"
"157","투지만발슈트라이텐","열혈 로봇물!","9.19"
"158","소피아가머리카락을쓸어넘길때","학원 일상 추리","9.90"
"159","뚜벅뚜벅,비혼라이프","비혼 여성의 일상","9.81"
"160","무엇이든그려드립니닷!","무엇이든그려드립니닷","9.90"
"161","사랑하는계절","자유연재","9.75"
"162","보이지않는사람","보이지 않는 사랑","9.08"
"163","하루만네가되고싶어","로맨스판타지","9.90"
"164","너는나의나는너의수호천사","개그로맨스판타지","9.82"
"165","찌질이의아프리카라이프","아프리카 취업이야기","9.94"
"166","우주n은하","우주에서 온 소녀들","9.87"
"167","좋운날","좋운날 보내셨나요?","9.93"
"168","연애노트","솔로탈출연애프로젝트","8.92"
"169","수화배우는만화","수어배우는사람","9.89"
"170","긴생머리","과거와 갈등..연애","9.50"
"171","나의영원한","덕메이트가 생기다","9.68"
"172","마이데이","순정,학업로맨스","9.69"
"173","나비를찾아서","우리는 마녀다!","9.90"
"174","발버둥치다","우울증 이야기","9.91"
"175","로그아일","판타지 생존기","9.78"
"176","[세계여행이야기]WorldTravelDiary","세계여행이야기","9.89"
"177","기계인(機械人)","인간과 AI의 전쟁","9.67"
"178","봉산코믹스","비극과희극 단편선","9.80"
"179","사쟈툰","사쟈를 그립니다.","8.81"
"180","자각몽","자각몽을 꾸는 소녀","9.88"
"181","빨간물고기","엄마에 대한 애증","9.84"
"182","원인탐구생활:아리보리","육묘일기","9.90"
"183","마물전담부대","마물을 사냥하는부대","9.91"
"184","구나의그랬구나","어린이집 교사냥이","9.93"
"185","스쿨워터","학교물","9.72"
"186","꽃밭에서","잊어버린 것","9.92"
"187","설레이는나날","고양이 반려일상!","9.90"
"188","왕후의제국","고구려의 우씨 왕후","9.79"
"189","엘레노이아타락시아","판타지로맨스드라마","9.90"
"190","도화","동양 액션 판타지.","9.88"
"191","싸카소녀","소녀들의 스뽀오츠!","9.88"
"192","사업왕심길후","사업왕 심길후","9.62"
"193","브레인스톰","기억들의 배틀로얄","9.93"
"194","알콜일기","취할것같은 이야기!","9.87"
"195","사소한일로계약","사소한 걸로 계약함","9.53"
"196","아버지이야기","아버지가 들려주는","9.85"
"197","프리즘","무의식의 색","9.92"
"198","나를찾아줘","의사와 의대생","9.44"
"199","신의마녀","자칭마녀와신비한소년","9.91"
"200","심연","비윤리적인 실험","9.78"
"201","러비스LUVIS","넌 너대로 빛나!","9.80"
"202","파도를삼킨어항","달빛섬의 비밀","9.74"
"203","DJ카일하우스","DJ아빠와 중2아들","9.83"
"204","특이점2045","A.I.로봇VS인간","9.91"
"205","숲의향연","으로 초대합니다.","9.84"
"206","윤이나는남자","여자같은 남자","9.52"
"207","사도신여랑傳","초 자유연재 입니다","9.59"
"208","마음의온도","마음의 온도","9.88"
"209","이상한봄","퀴어한 관계 이야기","9.59"
"210","픽셔너","그들의 이상한 일상","9.72"
"211","빈센트","21세기 한국판타지","9.77"
"212","그래도하루는","희노애락 투병일기","9.93"
"213","아파지는중입니다","청춘남녀 성장로맨스","9.75"
"214","자체공강","대학물인척하는 만화","9.91"
"215","바보요정웽","바보요정Wooeng","9.89"
"216","백일몽화원","7,17,27일연재","9.72"
"217","CAFE_쉬어가게","누구나 쉬어가는 곳","9.90"
"218","이상한낙원의넬리쉬","이세계? 이상세계!","9.72"
"219","복학생정순이","22살 복학생","9.89"
"220","시험합격자","부자들의 학교","9.03"
"221","1인크리에이터","유X버 & bXj","8.99"
"222","개시","광해군과 김개시의政","9.89"
"223","솔로의연애","연애할 수 있을까~","9.93"
"224","신속한세계","판타지 모험 만화","9.24"
"225","파차마마의마법","위험천만 남미여행기","9.88"
"226","원더키퍼","너를 지키는","9.93"
"227","크림슨크로스","희망의 가치.","9.74"
"228","육식토끼","평범 콤플렉스 토끼","9.89"
"229","현세이의보이는라디오","현세이입니다!","9.91"
"230","도깨비불","요괴액션판타지","9.68"
"231","전지적덕후시점","나의 덕질 라이프","9.61"
"232","개판오분전","방과후고교생활이야기","9.77"
"233","해동요","동양 판타지 서사극","9.34"
"234","순진한로웰씨","회사로망 일상툰★","9.86"
"235","그림자게임","시즌2 시작합니다.","9.88"
"236","지금은여관주인!!","판타지속 여관이야기","9.92"
"237","너나들이","20대남녀연애이야기","9.89"
"238","IDOL","전지적 연습생 시점","9.60"
"239","일타쌍피-백-","쌍둥이 일기","9.85"
"240","일타쌍피-흑-","쌍둥이 일기","9.79"
"241","언니","언니만화(완결)","9.89"
"242","그를좋아한다","그는 누구일까","9.71"
"243","3구역숲","코아의 특별함","9.49"
"244","우주의수호천사","우주의 수호천사!","9.88"
"245","멜팅포인트","","9.78"
"246","등교하는근식이","목숨을 건 개근일기","9.89"
"247","슬픔을먹는남자","성장물,감성,판타지","9.92"
"248","미용사:LOSTHERO","전직용사현직미용사!","9.72"
"249","어느남고생의하루","말하는강아지와의일상","9.89"
"250","소녀가여행하는법2베트남프렌즈여행기","여행장려웹툰","9.86"
"251","당신의한순간","#심리#영혼#힐링","9.78"
"252","달콤한비밀연애","사내연애 후  일상","9.67"
"253","루이와졸개들R","나만알고싶은 양아치","9.79"
"254","시크릿가족","성교육웹툰!!","9.88"
"255","그날,우리들의여름.","격주 연재합니다.","9.85"
"256","네가꿈꾸는동안에","꿈으로 드러난 범죄","9.92"
"257","다시돌아온","다시 돌아온","9.74"
"258","헌트","어디에 있는가","9.64"
"259","리프로듀싱","내가 여자 아이돌?","9.60"
